Date,Open,High,Low,Close*,Adj. close**,Volume
09/09/1930,21.76,21.76,21.76,21.76,21.76,-
08/09/1930,21.63,21.63,21.63,21.63,21.63,-
05/09/1930,21.34,21.34,21.34,21.34,21.34,-
04/09/1930,21.02,21.02,21.02,21.02,21.02,-
03/09/1930,21.17,21.17,21.17,21.17,21.17,-
02/09/1930,21.38,21.38,21.38,21.38,21.38,-
29/08/1930,21.37,21.37,21.37,21.37,21.37,-
28/08/1930,21.13,21.13,21.13,21.13,21.13,-
27/08/1930,21.14,21.14,21.14,21.14,21.14,-
26/08/1930,20.98,20.98,20.98,20.98,20.98,-
25/08/1930,20.68,20.68,20.68,20.68,20.68,-
22/08/1930,20.79,20.79,20.79,20.79,20.79,-
21/08/1930,20.64,20.64,20.64,20.64,20.64,-
20/08/1930,20.85,20.85,20.85,20.85,20.85,-
19/08/1930,20.74,20.74,20.74,20.74,20.74,-
18/08/1930,20.54,20.54,20.54,20.54,20.54,-
15/08/1930,20.7,20.7,20.7,20.7,20.7,-
14/08/1930,20.16,20.16,20.16,20.16,20.16,-
13/08/1930,20.15,20.15,20.15,20.15,20.15,-
12/08/1930,19.88,19.88,19.88,19.88,19.88,-
11/08/1930,20.4,20.4,20.4,20.4,20.4,-
08/08/1930,20.27,20.27,20.27,20.27,20.27,-
07/08/1930,21.06,21.06,21.06,21.06,21.06,-
06/08/1930,21.18,21.18,21.18,21.18,21.18,-
05/08/1930,21.52,21.52,21.52,21.52,21.52,-
04/08/1930,21.52,21.52,21.52,21.52,21.52,-
01/08/1930,21.11,21.11,21.11,21.11,21.11,-
31/07/1930,21.21,21.21,21.21,21.21,21.21,-
30/07/1930,21.08,21.08,21.08,21.08,21.08,-
29/07/1930,21.65,21.65,21.65,21.65,21.65,-
28/07/1930,21.82,21.82,21.82,21.82,21.82,-
25/07/1930,21.5,21.5,21.5,21.5,21.5,-
24/07/1930,21.38,21.38,21.38,21.38,21.38,-
23/07/1930,21.66,21.66,21.66,21.66,21.66,-
22/07/1930,21.32,21.32,21.32,21.32,21.32,-
21/07/1930,20.94,20.94,20.94,20.94,20.94,-
18/07/1930,21.77,21.77,21.77,21.77,21.77,-
17/07/1930,21.58,21.58,21.58,21.58,21.58,-
16/07/1930,21.48,21.48,21.48,21.48,21.48,-
15/07/1930,21.32,21.32,21.32,21.32,21.32,-
14/07/1930,21.36,21.36,21.36,21.36,21.36,-
11/07/1930,20.55,20.55,20.55,20.55,20.55,-
10/07/1930,20.77,20.77,20.77,20.77,20.77,-
09/07/1930,20.26,20.26,20.26,20.26,20.26,-
08/07/1930,19.97,19.97,19.97,19.97,19.97,-
07/07/1930,19.83,19.83,19.83,19.83,19.83,-
03/07/1930,20.25,20.25,20.25,20.25,20.25,-
02/07/1930,20.46,20.46,20.46,20.46,20.46,-
01/07/1930,20.24,20.24,20.24,20.24,20.24,-
30/06/1930,20.46,20.46,20.46,20.46,20.46,-
27/06/1930,19.81,19.81,19.81,19.81,19.81,-
26/06/1930,20,20,20,20,20,-
25/06/1930,19.54,19.54,19.54,19.54,19.54,-
24/06/1930,19.39,19.39,19.39,19.39,19.39,-
23/06/1930,20.09,20.09,20.09,20.09,20.09,-
20/06/1930,20.25,20.25,20.25,20.25,20.25,-
19/06/1930,20.79,20.79,20.79,20.79,20.79,-
18/06/1930,19.86,19.86,19.86,19.86,19.86,-
17/06/1930,20.58,20.58,20.58,20.58,20.58,-
16/06/1930,20.56,20.56,20.56,20.56,20.56,-
13/06/1930,22.26,22.26,22.26,22.26,22.26,-
12/06/1930,22.13,22.13,22.13,22.13,22.13,-
11/06/1930,22.2,22.2,22.2,22.2,22.2,-
10/06/1930,23.01,23.01,23.01,23.01,23.01,-
09/06/1930,22.38,22.38,22.38,22.38,22.38,-
06/06/1930,23.52,23.52,23.52,23.52,23.52,-
05/06/1930,23.91,23.91,23.91,23.91,23.91,-
04/06/1930,24.29,24.29,24.29,24.29,24.29,-
03/06/1930,24.18,24.18,24.18,24.18,24.18,-
02/06/1930,24.4,24.4,24.4,24.4,24.4,-
29/05/1930,24.49,24.49,24.49,24.49,24.49,-
28/05/1930,24.38,24.38,24.38,24.38,24.38,-
27/05/1930,24.24,24.24,24.24,24.24,24.24,-
26/05/1930,24.23,24.23,24.23,24.23,24.23,-
23/05/1930,24.03,24.03,24.03,24.03,24.03,-
22/05/1930,23.79,23.79,23.79,23.79,23.79,-
21/05/1930,23.74,23.74,23.74,23.74,23.74,-
20/05/1930,23.86,23.86,23.86,23.86,23.86,-
19/05/1930,23.75,23.75,23.75,23.75,23.75,-
16/05/1930,24.28,24.28,24.28,24.28,24.28,-
15/05/1930,24.17,24.17,24.17,24.17,24.17,-
14/05/1930,24.57,24.57,24.57,24.57,24.57,-
13/05/1930,24.42,24.42,24.42,24.42,24.42,-
12/05/1930,24.09,24.09,24.09,24.09,24.09,-
09/05/1930,23.69,23.69,23.69,23.69,23.69,-
08/05/1930,23.4,23.4,23.4,23.4,23.4,-
07/05/1930,23.31,23.31,23.31,23.31,23.31,-
06/05/1930,23.76,23.76,23.76,23.76,23.76,-
05/05/1930,22.98,22.98,22.98,22.98,22.98,-
02/05/1930,23.57,23.57,23.57,23.57,23.57,-
01/05/1930,24.3,24.3,24.3,24.3,24.3,-
30/04/1930,24.9,24.9,24.9,24.9,24.9,-
29/04/1930,24.73,24.73,24.73,24.73,24.73,-
28/04/1930,24.76,24.76,24.76,24.76,24.76,-
25/04/1930,25.32,25.32,25.32,25.32,25.32,-
24/04/1930,25.35,25.35,25.35,25.35,25.35,-
23/04/1930,25.55,25.55,25.55,25.55,25.55,-
22/04/1930,25.5,25.5,25.5,25.5,25.5,-
21/04/1930,25.29,25.29,25.29,25.29,25.29,-
17/04/1930,25.75,25.75,25.75,25.75,25.75,-
16/04/1930,25.56,25.56,25.56,25.56,25.56,-
15/04/1930,25.74,25.74,25.74,25.74,25.74,-
14/04/1930,25.73,25.73,25.73,25.73,25.73,-
11/04/1930,25.84,25.84,25.84,25.84,25.84,-
10/04/1930,25.92,25.92,25.92,25.92,25.92,-
09/04/1930,25.87,25.87,25.87,25.87,25.87,-
08/04/1930,25.46,25.46,25.46,25.46,25.46,-
07/04/1930,25.6,25.6,25.6,25.6,25.6,-
04/04/1930,25.54,25.54,25.54,25.54,25.54,-
03/04/1930,25.16,25.16,25.16,25.16,25.16,-
02/04/1930,25.11,25.11,25.11,25.11,25.11,-
01/04/1930,25.37,25.37,25.37,25.37,25.37,-
31/03/1930,24.15,24.15,24.15,24.15,24.15,-
28/03/1930,24.85,24.85,24.85,24.85,24.85,-
27/03/1930,24.57,24.57,24.57,24.57,24.57,-
26/03/1930,24.62,24.62,24.62,24.62,24.62,-
25/03/1930,24.25,24.25,24.25,24.25,24.25,-
24/03/1930,24.28,24.28,24.28,24.28,24.28,-
21/03/1930,24.29,24.29,24.29,24.29,24.29,-
20/03/1930,24.14,24.14,24.14,24.14,24.14,-
19/03/1930,24.03,24.03,24.03,24.03,24.03,-
18/03/1930,23.9,23.9,23.9,23.9,23.9,-
17/03/1930,23.67,23.67,23.67,23.67,23.67,-
14/03/1930,23.45,23.45,23.45,23.45,23.45,-
13/03/1930,23.6,23.6,23.6,23.6,23.6,-
12/03/1930,23.46,23.46,23.46,23.46,23.46,-
11/03/1930,23.72,23.72,23.72,23.72,23.72,-
10/03/1930,23.67,23.67,23.67,23.67,23.67,-
07/03/1930,23.59,23.59,23.59,23.59,23.59,-
06/03/1930,23.59,23.59,23.59,23.59,23.59,-
05/03/1930,23.36,23.36,23.36,23.36,23.36,-
04/03/1930,23.54,23.54,23.54,23.54,23.54,-
03/03/1930,23.36,23.36,23.36,23.36,23.36,-
28/02/1930,23.28,23.28,23.28,23.28,23.28,-
27/02/1930,23.08,23.08,23.08,23.08,23.08,-
26/02/1930,23.11,23.11,23.11,23.11,23.11,-
25/02/1930,22.89,22.89,22.89,22.89,22.89,-
24/02/1930,22.68,22.68,22.68,22.68,22.68,-
21/02/1930,22.92,22.92,22.92,22.92,22.92,-
20/02/1930,22.64,22.64,22.64,22.64,22.64,-
19/02/1930,23.07,23.07,23.07,23.07,23.07,-
18/02/1930,23.28,23.28,23.28,23.28,23.28,-
17/02/1930,23.26,23.26,23.26,23.26,23.26,-
14/02/1930,23.35,23.35,23.35,23.35,23.35,-
13/02/1930,23.36,23.36,23.36,23.36,23.36,-
11/02/1930,23.32,23.32,23.32,23.32,23.32,-
10/02/1930,23.12,23.12,23.12,23.12,23.12,-
07/02/1930,22.97,22.97,22.97,22.97,22.97,-
06/02/1930,23.06,23.06,23.06,23.06,23.06,-
05/02/1930,23.31,23.31,23.31,23.31,23.31,-
04/02/1930,23.01,23.01,23.01,23.01,23.01,-
03/02/1930,22.74,22.74,22.74,22.74,22.74,-
31/01/1930,22.79,22.79,22.79,22.79,22.79,-
30/01/1930,22.47,22.47,22.47,22.47,22.47,-
29/01/1930,22.35,22.35,22.35,22.35,22.35,-
28/01/1930,22.1,22.1,22.1,22.1,22.1,-
27/01/1930,22.21,22.21,22.21,22.21,22.21,-
24/01/1930,22.04,22.04,22.04,22.04,22.04,-
23/01/1930,21.84,21.84,21.84,21.84,21.84,-
22/01/1930,21.63,21.63,21.63,21.63,21.63,-
21/01/1930,21.61,21.61,21.61,21.61,21.61,-
20/01/1930,21.5,21.5,21.5,21.5,21.5,-
17/01/1930,21.31,21.31,21.31,21.31,21.31,-
16/01/1930,21.5,21.5,21.5,21.5,21.5,-
15/01/1930,21.65,21.65,21.65,21.65,21.65,-
14/01/1930,21.56,21.56,21.56,21.56,21.56,-
13/01/1930,21.52,21.52,21.52,21.52,21.52,-
10/01/1930,21.55,21.55,21.55,21.55,21.55,-
09/01/1930,21.62,21.62,21.62,21.62,21.62,-
08/01/1930,21.29,21.29,21.29,21.29,21.29,-
07/01/1930,21.31,21.31,21.31,21.31,21.31,-
06/01/1930,21.5,21.5,21.5,21.5,21.5,-
03/01/1930,21.23,21.23,21.23,21.23,21.23,-
02/01/1930,21.18,21.18,21.18,21.18,21.18,-
31/12/1929,21.45,21.45,21.45,21.45,21.45,-
30/12/1929,20.89,20.89,20.89,20.89,20.89,-
27/12/1929,20.82,20.82,20.82,20.82,20.82,-
26/12/1929,20.84,20.84,20.84,20.84,20.84,-
24/12/1929,20.39,20.39,20.39,20.39,20.39,-
23/12/1929,20.26,20.26,20.26,20.26,20.26,-
20/12/1929,20.16,20.16,20.16,20.16,20.16,-
19/12/1929,20.85,20.85,20.85,20.85,20.85,-
18/12/1929,21.42,21.42,21.42,21.42,21.42,-
17/12/1929,21.56,21.56,21.56,21.56,21.56,-
16/12/1929,21.33,21.33,21.33,21.33,21.33,-
13/12/1929,21.7,21.7,21.7,21.7,21.7,-
12/12/1929,21.17,21.17,21.17,21.17,21.17,-
11/12/1929,22.38,22.38,22.38,22.38,22.38,-
10/12/1929,22.57,22.57,22.57,22.57,22.57,-
09/12/1929,22.4,22.4,22.4,22.4,22.4,-
06/12/1929,22.45,22.45,22.45,22.45,22.45,-
05/12/1929,21.87,21.87,21.87,21.87,21.87,-
04/12/1929,22.05,22.05,22.05,22.05,22.05,-
03/12/1929,21.65,21.65,21.65,21.65,21.65,-
02/12/1929,20.95,20.95,20.95,20.95,20.95,-
27/11/1929,20.92,20.92,20.92,20.92,20.92,-
26/11/1929,20.66,20.66,20.66,20.66,20.66,-
25/11/1929,21.28,21.28,21.28,21.28,21.28,-
22/11/1929,21.53,21.53,21.53,21.53,21.53,-
21/11/1929,21.61,21.61,21.61,21.61,21.61,-
20/11/1929,21.27,21.27,21.27,21.27,21.27,-
19/11/1929,20.7,20.7,20.7,20.7,20.7,-
18/11/1929,20.09,20.09,20.09,20.09,20.09,-
15/11/1929,20.3,20.3,20.3,20.3,20.3,-
14/11/1929,19.24,19.24,19.24,19.24,19.24,-
13/11/1929,17.66,17.66,17.66,17.66,17.66,-
12/11/1929,18.73,18.73,18.73,18.73,18.73,-
11/11/1929,19.86,19.86,19.86,19.86,19.86,-
08/11/1929,21.18,21.18,21.18,21.18,21.18,-
07/11/1929,21.37,21.37,21.37,21.37,21.37,-
06/11/1929,20.61,20.61,20.61,20.61,20.61,-
04/11/1929,22.88,22.88,22.88,22.88,22.88,-
31/10/1929,24.15,24.15,24.15,24.15,24.15,-
30/10/1929,22.99,22.99,22.99,22.99,22.99,-
29/10/1929,20.43,20.43,20.43,20.43,20.43,-
28/10/1929,22.74,22.74,22.74,22.74,22.74,-
25/10/1929,26.12,26.12,26.12,26.12,26.12,-
24/10/1929,25.75,25.75,25.75,25.75,25.75,-
23/10/1929,26.6,26.6,26.6,26.6,26.6,-
22/10/1929,28.27,28.27,28.27,28.27,28.27,-
21/10/1929,27.73,27.73,27.73,27.73,27.73,-
18/10/1929,28.84,28.84,28.84,28.84,28.84,-
17/10/1929,29.69,29.69,29.69,29.69,29.69,-
16/10/1929,29.24,29.24,29.24,29.24,29.24,-
15/10/1929,30.3,30.3,30.3,30.3,30.3,-
14/10/1929,30.55,30.55,30.55,30.55,30.55,-
11/10/1929,30.76,30.76,30.76,30.76,30.76,-
10/10/1929,30.81,30.81,30.81,30.81,30.81,-
09/10/1929,30.27,30.27,30.27,30.27,30.27,-
08/10/1929,30.34,30.34,30.34,30.34,30.34,-
07/10/1929,30.44,30.44,30.44,30.44,30.44,-
04/10/1929,28.65,28.65,28.65,28.65,28.65,-
