Date,Open,High,Low,Close,Adj Close**,Volume
03/08/1987,318.62,320.26,316.52,317.57,317.57,207800000.00
31/07/1987,318.05,318.85,317.56,318.66,318.66,181900000.00
30/07/1987,315.69,318.53,315.65,318.05,318.05,208000000.00
29/07/1987,312.34,315.65,311.73,315.65,315.65,196200000.00
28/07/1987,310.65,312.33,310.28,312.33,312.33,172600000.00
27/07/1987,309.3,310.7,308.61,310.65,310.65,152000000.00
24/07/1987,307.82,309.28,307.78,309.27,309.27,158400000.00
23/07/1987,308.5,309.63,306.1,307.81,307.81,163700000.00
22/07/1987,308.56,309.12,307.22,308.47,308.47,174700000.00
21/07/1987,311.36,312.41,307.51,308.55,308.55,186600000.00
20/07/1987,314.56,314.59,311.24,311.39,311.39,168100000.00
17/07/1987,312.71,314.59,312.38,314.59,314.59,210000000.00
16/07/1987,311,312.83,310.42,312.7,312.7,210900000.00
15/07/1987,310.67,312.08,309.07,310.42,310.42,202300000.00
14/07/1987,307.67,310.69,307.46,310.68,310.68,185900000.00
13/07/1987,308.41,308.41,305.49,307.63,307.63,152500000.00
10/07/1987,307.55,308.4,306.96,308.37,308.37,172100000.00
09/07/1987,308.3,309.56,307.42,307.52,307.52,195400000.00
08/07/1987,307.41,308.48,306.01,308.29,308.29,207500000.00
07/07/1987,304.91,308.63,304.73,307.4,307.4,200700000.00
06/07/1987,305.64,306.75,304.23,304.92,304.92,155000000.00
02/07/1987,302.96,306.34,302.94,305.63,305.63,154900000.00
01/07/1987,303.99,304,302.53,302.94,302.94,157000000.00
30/06/1987,307.89,308,303.01,304,304,165500000.00
29/06/1987,307.15,308.15,306.75,307.9,307.9,142500000.00
26/06/1987,308.94,308.96,306.36,307.16,307.16,150500000.00
25/06/1987,306.87,309.44,306.86,308.96,308.96,173500000.00
24/06/1987,308.44,308.91,306.32,306.86,306.86,153800000.00
23/06/1987,309.66,310.27,307.48,308.43,308.43,194200000.00
22/06/1987,306.98,310.2,306.97,309.65,309.65,178200000.00
19/06/1987,305.71,306.97,305.55,306.97,306.97,220500000.00
18/06/1987,304.78,306.13,303.38,305.69,305.69,168600000.00
17/06/1987,304.77,305.74,304.03,304.81,304.81,184700000.00
16/06/1987,303.12,304.86,302.6,304.76,304.76,157800000.00
15/06/1987,301.62,304.11,301.62,303.14,303.14,156900000.00
12/06/1987,298.77,302.26,298.73,301.62,301.62,175100000.00
11/06/1987,297.5,298.94,297.47,298.73,298.73,138900000.00
10/06/1987,297.28,300.81,295.66,297.47,297.47,197400000.00
09/06/1987,296.72,297.59,295.9,297.28,297.28,164200000.00
08/06/1987,293.46,297.03,291.55,296.72,296.72,136400000.00
05/06/1987,295.11,295.11,292.8,293.45,293.45,129100000.00
04/06/1987,293.46,295.09,292.76,295.09,295.09,140300000.00
03/06/1987,288.56,293.47,288.56,293.47,293.47,164200000.00
02/06/1987,289.82,290.94,286.93,288.46,288.46,153400000.00
01/06/1987,290.12,291.96,289.23,289.83,289.83,149300000.00
29/05/1987,290.77,292.87,289.7,290.1,290.1,153500000.00
28/05/1987,288.73,291.5,286.33,290.76,290.76,153800000.00
27/05/1987,289.07,290.78,288.19,288.73,288.73,171400000.00
26/05/1987,282.16,289.11,282.16,289.11,289.11,152500000.00
22/05/1987,280.17,283.33,280.17,282.16,282.16,135800000.00
21/05/1987,278.23,282.31,278.21,280.17,280.17,164800000.00
20/05/1987,279.62,280.89,277.01,278.21,278.21,206800000.00
19/05/1987,286.66,287.39,278.83,279.62,279.62,175400000.00
18/05/1987,287.43,287.43,282.57,286.65,286.65,174200000.00
15/05/1987,294.23,294.24,287.11,287.43,287.43,180800000.00
14/05/1987,293.98,295.1,292.95,294.24,294.24,152000000.00
13/05/1987,293.31,294.54,290.74,293.98,293.98,171000000.00
12/05/1987,291.57,293.3,290.18,293.3,293.3,155300000.00
11/05/1987,293.37,298.69,291.55,291.57,291.57,203700000.00
08/05/1987,294.73,296.18,291.73,293.37,293.37,161900000.00
07/05/1987,295.45,296.8,294.07,294.71,294.71,215200000.00
06/05/1987,295.35,296.19,293.6,295.47,295.47,196600000.00
05/05/1987,289.36,295.4,289.34,295.34,295.34,192300000.00
04/05/1987,288.02,289.99,286.39,289.36,289.36,140600000.00
01/05/1987,286.99,289.71,286.52,288.03,288.03,160100000.00
30/04/1987,284.58,290.08,284.57,288.36,288.36,183100000.00
29/04/1987,282.58,286.42,282.58,284.57,284.57,173600000.00
28/04/1987,281.83,285.95,281.83,282.51,282.51,180100000.00
27/04/1987,281.52,284.45,276.22,281.83,281.83,222700000.00
24/04/1987,286.81,286.82,281.18,281.52,281.52,178000000.00
23/04/1987,287.19,289.12,284.28,286.82,286.82,173900000.00
22/04/1987,293.05,293.46,286.98,287.19,287.19,185900000.00
21/04/1987,285.88,293.07,282.89,293.07,293.07,191300000.00
20/04/1987,286.91,288.36,284.55,286.09,286.09,139100000.00
16/04/1987,284.45,289.57,284.44,286.91,286.91,189600000.00
15/04/1987,279.17,285.14,279.16,284.44,284.44,198200000.00
14/04/1987,285.61,285.62,275.67,279.16,279.16,266500000.00
13/04/1987,292.48,293.36,285.62,285.62,285.62,181000000.00
10/04/1987,292.82,293.74,290.94,292.49,292.49,169500000.00
09/04/1987,297.25,297.71,291.5,292.86,292.86,180300000.00
08/04/1987,296.72,299.2,295.18,297.26,297.26,179800000.00
07/04/1987,301.94,303.65,296.67,296.69,296.69,186400000.00
06/04/1987,300.46,302.21,300.41,301.95,301.95,173700000.00
03/04/1987,293.64,301.3,292.3,300.41,300.41,213400000.00
02/04/1987,292.41,294.47,292.02,293.63,293.63,183000000.00
01/04/1987,291.59,292.38,288.34,292.38,292.38,182600000.00
31/03/1987,289.21,291.87,289.07,291.7,291.7,171800000.00
30/03/1987,296.1,296.13,286.69,289.2,289.2,208400000.00
27/03/1987,300.96,301.41,296.06,296.13,296.13,184400000.00
26/03/1987,300.39,302.72,300.38,300.93,300.93,196000000.00
25/03/1987,301.52,301.85,299.36,300.38,300.38,171300000.00
24/03/1987,301.17,301.92,300.14,301.64,301.64,189900000.00
23/03/1987,298.16,301.17,297.5,301.16,301.16,189100000.00
20/03/1987,294.08,298.17,294.08,298.17,298.17,234000000.00
19/03/1987,292.73,294.46,292.26,294.08,294.08,166100000.00
18/03/1987,292.49,294.58,290.87,292.78,292.78,198100000.00
17/03/1987,288.09,292.47,287.96,292.47,292.47,177300000.00
16/03/1987,289.88,289.89,286.64,288.23,288.23,134900000.00
13/03/1987,291.22,291.79,289.88,289.89,289.89,150900000.00
12/03/1987,290.33,291.91,289.66,291.22,291.22,174500000.00
11/03/1987,290.87,292.51,289.33,290.31,290.31,186900000.00
10/03/1987,288.3,290.87,287.89,290.86,290.86,174800000.00
09/03/1987,290.66,290.66,287.12,288.3,288.3,165400000.00
06/03/1987,290.52,290.67,288.77,290.66,290.66,181600000.00
05/03/1987,288.62,291.24,288.6,290.52,290.52,205400000.00
04/03/1987,284.12,288.62,284.12,288.62,288.62,198400000.00
03/03/1987,283,284.19,282.92,284.12,284.12,149200000.00
02/03/1987,284.17,284.83,282.3,283,283,156700000.00
27/02/1987,282.96,284.55,282.77,284.2,284.2,142800000.00
26/02/1987,284,284.4,280.73,282.96,282.96,165800000.00
25/02/1987,282.88,285.35,282.14,284,284,184100000.00
24/02/1987,282.38,283.33,281.45,282.88,282.88,151300000.00
23/02/1987,285.48,285.5,279.37,282.38,282.38,170500000.00
20/02/1987,285.57,285.98,284.31,285.48,285.48,175800000.00
19/02/1987,285.42,286.24,283.84,285.57,285.57,181500000.00
18/02/1987,285.49,287.55,282.97,285.42,285.42,218200000.00
17/02/1987,279.7,285.49,279.7,285.49,285.49,187800000.00
13/02/1987,275.62,280.91,275.01,279.7,279.7,184400000.00
12/02/1987,277.54,278.04,273.89,275.62,275.62,200400000.00
11/02/1987,275.07,277.71,274.71,277.54,277.54,172400000.00
10/02/1987,278.16,278.16,273.49,275.07,275.07,168300000.00
09/02/1987,280.04,280.04,277.24,278.16,278.16,143300000.00
