DATE,SPCS20RSA
2005-11-01,200.14819791003998
2005-12-01,202.17716851435
2006-01-01,203.7713398748
2006-02-01,205.362930792956
2006-03-01,206.14708705631
2006-04-01,206.65608508970402
2006-05-01,206.509799267872
2006-06-01,205.807331534741
2006-07-01,204.93639829585499
2006-08-01,204.11155703721298
2006-09-01,203.585484923299
2006-10-01,203.549391371972
2006-11-01,203.652852348248
2006-12-01,203.47521935151198
2007-01-01,203.742776313246
2007-02-01,204.070603391766
2007-03-01,203.949426520947
2007-04-01,202.88095736148702
2007-05-01,201.03355790793302
2007-06-01,198.84716709495098
2007-07-01,196.84448215521
2007-08-01,194.892781457103
2007-09-01,193.12483826333
2007-10-01,190.979568733606
2007-11-01,187.90498466461497
2007-12-01,185.099784034161
2008-01-01,182.139864490093
2008-02-01,178.550299981995
2008-03-01,175.115812092917
2008-04-01,172.442602292771
2008-05-01,169.56029234568
2008-06-01,167.177684830557
2008-07-01,164.399639614498
2008-08-01,162.11587101367599
2008-09-01,159.114548367065
2008-10-01,156.296570599844
2008-11-01,153.65914994833798
2008-12-01,150.727605835775
2009-01-01,147.71550930301
2009-02-01,145.612680768043
2009-03-01,142.72141023442302
2009-04-01,141.55958432556002
2009-05-01,140.841502373211
2009-06-01,141.29091559005698
2009-07-01,142.249895609566
2009-08-01,143.476657061195
2009-09-01,144.072130344669
2009-10-01,144.795834156351
2009-11-01,145.473957912051
2009-12-01,146.24729995707898
2010-01-01,146.931722524158
2010-02-01,146.909884775261
2010-03-01,146.230275001986
2010-04-01,147.061115199772
2010-05-01,147.269274572168
2010-06-01,147.040221544784
2010-07-01,146.405763171787
2010-08-01,145.54367072370002
2010-09-01,144.55443093183
2010-10-01,143.626425361172
2010-11-01,143.28189969823902
2010-12-01,142.966882229623
2011-01-01,142.589768379753
2011-02-01,142.03796852766502
2011-03-01,140.42527322665399
2011-04-01,140.688516603524
2011-05-01,140.424657960145
2011-06-01,140.359506956767
2011-07-01,140.324801062159
2011-08-01,140.05064147437201
2011-09-01,139.423770085195
2011-10-01,138.659335202415
2011-11-01,137.942475247398
2011-12-01,137.372317475307
2012-01-01,137.14547864115
2012-02-01,136.993592902671
2012-03-01,136.623297433202
2012-04-01,137.87428849028498
2012-05-01,139.450306601921
2012-06-01,141.018745909773
2012-07-01,141.965823715657
2012-08-01,142.95271363871402
2012-09-01,143.829574225061
2012-10-01,144.806626961169
2012-11-01,145.811215807394
2012-12-01,147.11095847796102
2013-01-01,148.329963851467
2013-02-01,149.568658876148
2013-03-01,150.964341820616
2013-04-01,153.86068641970698
2013-05-01,156.001165084053
2013-06-01,157.83173955524902
2013-07-01,159.606898546614
2013-08-01,161.556136876104
2013-09-01,163.290970316448
2013-10-01,164.806802978646
2013-11-01,166.01617441618401
2013-12-01,166.913351674717
2014-01-01,167.859081502004
2014-02-01,168.472592177749
2014-03-01,169.180471913055
2014-04-01,169.938148367969
2014-05-01,170.22573579705602
2014-06-01,170.532566761749
2014-07-01,170.637253327371
2014-08-01,170.973600566782
2014-09-01,171.478886311517
2014-10-01,172.40107839993001
2014-11-01,173.169188005234
2014-12-01,174.19974127403
2015-01-01,175.05145768980597
2015-02-01,176.293282107534
2015-03-01,176.959507096037
2015-04-01,177.730103324079
2015-05-01,178.281797339181
2015-06-01,178.846454554883
2015-07-01,179.388197802155
2015-08-01,180.031366047831
2015-09-01,180.913932123041
2015-10-01,181.901718211873
2015-11-01,182.988748737793
2015-12-01,183.820751597879
2016-01-01,184.671393687592
2016-02-01,185.340407481454
2016-03-01,186.090028982272
2016-04-01,186.95598081711998
2016-05-01,187.449132800196
2016-06-01,188.109897462692
2016-07-01,188.77682876446
2016-08-01,189.623512481302
2016-09-01,190.359994184259
2016-10-01,191.21818242874298
2016-11-01,192.41036865590598
2016-12-01,193.68668660624598
2017-01-01,194.965605715224
2017-02-01,195.83732300290401
2017-03-01,196.603886205279
2017-04-01,197.339828461348
2017-05-01,198.127520714457
2017-06-01,198.88702278821702
2017-07-01,200.04157851132598
2017-08-01,201.075682179395
2017-09-01,202.305010181781
2017-10-01,203.358186682137
2017-11-01,204.57712989031998
2017-12-01,205.711152809504
2018-01-01,207.18226078592602
2018-02-01,208.68698523128003
2018-03-01,209.504646083275
2018-04-01,210.17589916493
2018-05-01,210.85523259573003
2018-06-01,211.52301804362702
2018-07-01,212.00620385974
2018-08-01,212.49611578789902
2018-09-01,212.922260992419
2018-10-01,213.380336946244
2018-11-01,213.593654944203
2018-12-01,213.913475420933
2019-01-01,214.125070149633
2019-02-01,214.428116812231
2019-03-01,214.59121304061298
2019-04-01,215.224740224967
2019-05-01,215.773223608181
2019-06-01,216.165107944374
2019-07-01,216.455350452855
2019-08-01,217.001028875804
2019-09-01,217.473082805872
2019-10-01,218.125222744355
2019-11-01,218.873097942457
2019-12-01,219.869359718835
2020-01-01,220.73912853455798
2020-02-01,221.876090673129
2020-03-01,222.878208303445
2020-04-01,223.477396227624
2020-05-01,223.533138331159
2020-06-01,223.801534224448
2020-07-01,225.61228214545898
2020-08-01,228.83865830688302
2020-09-01,232.17665636114398
2020-10-01,235.74537656869302
2020-11-01,238.901760608103
2020-12-01,242.19326255722402
2021-01-01,245.39645115176398
2021-02-01,248.69284150175
2021-03-01,252.95698769983102
2021-04-01,257.397339542513
2021-05-01,262.12202615502497
2021-06-01,266.835448229907
2021-07-01,270.843573233544
2021-08-01,273.931552067004
2021-09-01,276.59760833346803
2021-10-01,279.249101072624
2021-11-01,282.535659402064
